ID,Name,Last Name,Money Available,Concerts purchased,Ticket Miner,Usarname,Password
417,Adam,Bass,17437.56,0,false,adambass,Fun!23
296,Adam,Maldonado,14763.23,0,true,adammaldonado,Fun!23
11,Aladdin,Disney,12432.76,0,true,aladdindisney,Fun!23
52,Alan,Gamez,15158.32,0,false,alangamez,Fun!23
249,Alejandra,Morris,12124.41,0,false,alejandramorris,Fun!23
87,Alex,Vega,13880.69,0,false,alexvega,Fun!23
332,Alexander,Cameron,13140.96,0,false,alexandercameron,Fun!23
531,Alexander,Carter,16386.99,0,true,alexandercarter,Fun!23
232,Alexander,Kelly,13981.59,0,true,alexanderkelly,Fun!23
850,Alexander,Wilson,13012.78,0,true,alexanderwilson,Fun!23
958,Alexandra,Cook,10297.33,0,true,alexandracook,Fun!23
462,Alexandra,Fox,12409.48,0,true,alexandrafox,Fun!23
292,Alexandra,Robinson,16877.36,0,false,alexandrarobinson,Fun!23
781,Alexandra,Simpson,17894.14,0,true,alexandrasimpson,Fun!23
771,Alexis,Black,12185.28,0,true,alexisblack,Fun!23
251,Alexis,Ford,16471.0,0,false,alexisford,Fun!23
75,Alexis,Reta,12149.32,0,false,alexisreta,Fun!23
448,Alexis,Shea,14620.21,0,false,alexisshea,Fun!23
38,Ali,Nouri,10422.0,0,true,alinouri,Fun!23
384,Alicia,Jenkins,14190.92,0,false,aliciajenkins,Fun!23
815,Alicia,Moran,15199.4,0,true,aliciamoran,Fun!23
849,Alison,Hicks,16867.06,0,true,alisonhicks,Fun!23
637,Allen,Arnold,17408.78,0,true,allenarnold,Fun!23
275,Allison,Chang,12500.35,0,true,allisonchang,Fun!23
403,Allison,Cross,14851.77,0,false,allisoncross,Fun!23
731,Allison,Weaver,14918.94,0,true,allisonweaver,Fun!23
791,Alyssa,Kelly,17696.71,0,true,alyssakelly,Fun!23
674,Alyssa,Poole,10807.0,0,false,alyssapoole,Fun!23
470,Alyssa,Reese,12811.52,0,true,alyssareese,Fun!23
592,Alyssa,Smith,10432.65,0,false,alyssasmith,Fun!23
1037,Amanda,Baker,12148.0,0,true,amandabaker,Fun!23
913,Amanda,Johnson,12650.74,0,true,amandajohnson,Fun!23
207,Amanda,Miller,10125.23,0,true,amandamiller,Fun!23
331,Amanda,Shepherd,11508.66,0,false,amandashepherd,Fun!23
542,Amanda,Vang,13090.33,0,true,amandavang,Fun!23
359,Amber,Brown,14845.39,0,true,amberbrown,Fun!23
943,Amber,Conley,15676.81,0,true,amberconley,Fun!23
619,Amber,Long,13182.89,0,true,amberlong,Fun!23
608,Amber,Nguyen,12750.0,0,true,ambernguyen,Fun!23
488,Amber,Sellers,11984.62,0,false,ambersellers,Fun!23
308,Amy,Bradley,10154.09,0,true,amybradley,Fun!23
541,Amy,Chase,11932.76,0,true,amychase,Fun!23
968,Amy,Fuller,13940.48,0,true,amyfuller,Fun!23
954,Amy,Hall,16505.94,0,false,amyhall,Fun!23
502,Amy,Mcpherson,12084.53,0,true,amymcpherson,Fun!23
895,Amy,Morse,10037.41,0,true,amymorse,Fun!23
847,Amy,Parsons,17149.43,0,true,amyparsons,Fun!23
476,Amy,Rodriguez,10433.82,0,true,amyrodriguez,Fun!23
940,Ana,Andrade,10372.7,0,false,anaandrade,Fun!23
899,Andre,Ramos,15938.27,0,true,andreramos,Fun!23
966,Andrea,Riley,14463.64,0,false,andreariley,Fun!23
695,Andrew,Atkins,11231.88,0,false,andrewatkins,Fun!23
236,Andrew,Campos,10197.53,0,true,andrewcampos,Fun!23
175,Andrew,Garcia,12842.75,0,false,andrewgarcia,Fun!23
1001,Andrew,Hall,12362.56,0,false,andrewhall,Fun!23
616,Andrew,Marshall,14177.11,0,false,andrewmarshall,Fun!23
612,Andrew,Mcclure,10854.3,0,false,andrewmcclure,Fun!23
817,Andrew,Norris,12429.36,0,true,andrewnorris,Fun!23
201,Andrew,Parks,13944.57,0,false,andrewparks,Fun!23
583,Andrew,Torres,12467.31,0,true,andrewtorres,Fun!23
494,Angel,Barber,14974.77,0,false,angelbarber,Fun!23
370,Angel,Joseph,10090.26,0,true,angeljoseph,Fun!23
74,Angel,Ramos,17124.62,0,true,angelramos,Fun!23
743,Angela,Carney,12996.59,0,true,angelacarney,Fun!23
1032,Angela,English,14084.51,0,false,angelaenglish,Fun!23
504,Angela,Lang,10315.71,0,false,angelalang,Fun!23
473,Angela,Mcintyre,13628.6,0,true,angelamcintyre,Fun!23
543,Angela,Walker,11679.24,0,false,angelawalker,Fun!23
269,Angelica,Bruce,14467.94,0,true,angelicabruce,Fun!23
752,Anita,Fletcher,11724.56,0,true,anitafletcher,Fun!23
404,Anita,Stein,12719.55,0,true,anitastein,Fun!23
687,Ann,Miller,12446.56,0,false,annmiller,Fun!23
819,Ann,Rogers,17965.81,0,true,annrogers,Fun!23
684,Anna,Davis,17852.37,0,false,annadavis,Fun!23
