Password,Money Available,Last Name,ID,Concerts Purchased,First Name,TicketMiner Membership,Username
Fun!23,17437.56,Bass,417,0,Adam,false,adambass
Fun!23,14763.23,Maldonado,296,0,Adam,true,adammaldonado
Fun!23,12432.76,Disney,11,0,Aladdin,true,aladdindisney
Fun!23,15158.32,Gamez,52,0,Alan,false,alangamez
Fun!23,12124.41,Morris,249,0,Alejandra,false,alejandramorris
Fun!23,13880.69,Vega,87,0,Alex,false,alexvega
Fun!23,13140.96,Cameron,332,0,Alexander,false,alexandercameron
Fun!23,16386.99,Carter,531,0,Alexander,true,alexandercarter
Fun!23,13981.59,Kelly,232,0,Alexander,true,alexanderkelly
Fun!23,13012.78,Wilson,850,0,Alexander,true,alexanderwilson
Fun!23,10297.33,Cook,958,0,Alexandra,true,alexandracook
Fun!23,12409.48,Fox,462,0,Alexandra,true,alexandrafox
Fun!23,16877.36,Robinson,292,0,Alexandra,false,alexandrarobinson
Fun!23,17894.14,Simpson,781,0,Alexandra,true,alexandrasimpson
Fun!23,12185.28,Black,771,0,Alexis,true,alexisblack
Fun!23,16471,Ford,251,0,Alexis,false,alexisford
Fun!23,12149.32,Reta,75,0,Alexis,false,alexisreta
Fun!23,14620.21,Shea,448,0,Alexis,false,alexisshea
Fun!23,10422,Nouri,38,0,Ali,true,alinouri
Fun!23,14190.92,Jenkins,384,0,Alicia,false,aliciajenkins
Fun!23,15199.4,Moran,815,0,Alicia,true,aliciamoran
Fun!23,16867.06,Hicks,849,0,Alison,true,alisonhicks
Fun!23,17408.78,Arnold,637,0,Allen,true,allenarnold
Fun!23,12500.35,Chang,275,0,Allison,true,allisonchang
Fun!23,14851.77,Cross,403,0,Allison,false,allisoncross
Fun!23,14918.94,Weaver,731,0,Allison,true,allisonweaver
Fun!23,17696.71,Kelly,791,0,Alyssa,true,alyssakelly
Fun!23,10807,Poole,674,0,Alyssa,false,alyssapoole
Fun!23,12811.52,Reese,470,0,Alyssa,true,alyssareese
Fun!23,10432.65,Smith,592,0,Alyssa,false,alyssasmith
Fun!23,12148,Baker,1037,0,Amanda,true,amandabaker
Fun!23,12650.74,Johnson,913,0,Amanda,true,amandajohnson
Fun!23,10125.23,Miller,207,0,Amanda,true,amandamiller
Fun!23,11508.66,Shepherd,331,0,Amanda,false,amandashepherd
Fun!23,13090.33,Vang,542,0,Amanda,true,amandavang
Fun!23,14845.39,Brown,359,0,Amber,true,amberbrown
Fun!23,15676.81,Conley,943,0,Amber,true,amberconley
Fun!23,13182.89,Long,619,0,Amber,true,amberlong
Fun!23,12750,Nguyen,608,0,Amber,true,ambernguyen
Fun!23,11984.62,Sellers,488,0,Amber,false,ambersellers
Fun!23,10154.09,Bradley,308,0,Amy,true,amybradley
Fun!23,11932.76,Chase,541,0,Amy,true,amychase
Fun!23,13940.48,Fuller,968,0,Amy,true,amyfuller
Fun!23,16505.94,Hall,954,0,Amy,false,amyhall
Fun!23,12084.53,Mcpherson,502,0,Amy,true,amymcpherson
Fun!23,10037.41,Morse,895,0,Amy,true,amymorse
Fun!23,17149.43,Parsons,847,0,Amy,true,amyparsons
Fun!23,10433.82,Rodriguez,476,0,Amy,true,amyrodriguez
Fun!23,10372.7,Andrade,940,0,Ana,false,anaandrade
Fun!23,15938.27,Ramos,899,0,Andre,true,andreramos
Fun!23,14463.64,Riley,966,0,Andrea,false,andreariley
Fun!23,11231.88,Atkins,695,0,Andrew,false,andrewatkins
Fun!23,10197.53,Campos,236,0,Andrew,true,andrewcampos
Fun!23,12842.75,Garcia,175,0,Andrew,false,andrewgarcia
Fun!23,12362.56,Hall,1001,0,Andrew,false,andrewhall
Fun!23,14177.11,Marshall,616,0,Andrew,false,andrewmarshall
Fun!23,10854.3,Mcclure,612,0,Andrew,false,andrewmcclure
Fun!23,12429.36,Norris,817,0,Andrew,true,andrewnorris
Fun!23,13944.57,Parks,201,0,Andrew,false,andrewparks
Fun!23,12467.31,Torres,583,0,Andrew,true,andrewtorres
Fun!23,14974.77,Barber,494,0,Angel,false,angelbarber
Fun!23,10090.26,Joseph,370,0,Angel,true,angeljoseph
Fun!23,17124.62,Ramos,74,0,Angel,true,angelramos
Fun!23,12996.59,Carney,743,0,Angela,true,angelacarney
Fun!23,14084.51,English,1032,0,Angela,false,angelaenglish
Fun!23,10315.71,Lang,504,0,Angela,false,angelalang
Fun!23,13628.6,Mcintyre,473,0,Angela,true,angelamcintyre
Fun!23,11679.24,Walker,543,0,Angela,false,angelawalker
Fun!23,14467.94,Bruce,269,0,Angelica,true,angelicabruce
Fun!23,11724.56,Fletcher,752,0,Anita,true,anitafletcher
Fun!23,12719.55,Stein,404,0,Anita,true,anitastein
Fun!23,12446.56,Miller,687,0,Ann,false,annmiller
Fun!23,17965.81,Rogers,819,0,Ann,true,annrogers
Fun!23,17852.37,Davis,684,0,Anna,false,annadavis
Fun!23,13907.06,Gutierrez,238,0,Anna,true,annagutierrez
Fun!23,12139.82,Adams,712,0,Anthony,true,anthonyadams
Fun!23,17105.98,Barber,594,0,Anthony,false,anthonybarber
Fun!23,12287.73,Brooks,593,0,Anthony,true,anthonybrooks
Fun!23,13699.01,Byrd,978,0,Anthony,true,anthonybyrd
Fun!23,14456.5,Carson,624,0,Anthony,true,anthonycarson
Fun!23,13373.01,Dalton,460,0,Anthony,false,anthonydalton
Fun!23,10084.9,Hardin,389,0,Anthony,false,anthonyhardin
Fun!23,10505.54,Hunter,420,0,Anthony,false,anthonyhunter
Fun!23,15444.9,Kramer,906,0,Anthony,true,anthonykramer
Fun!23,17885.4,Moore,659,0,Anthony,false,anthonymoore
Fun!23,16005.59,Sanchez,167,0,Anthony,false,anthonysanchez
Fun!23,14164.62,Sims,395,0,Anthony,true,anthonysims
Fun!23,11728.93,Brooks,360,0,Antonio,true,antoniobrooks
Fun!23,17389.79,Edwards,604,0,Antonio,false,antonioedwards
Fun!23,11223.36,Lopez,914,0,April,true,aprillopez
Fun!23,11792.6,Turner,439,0,April,true,aprilturner
Fun!23,16625.15,Lara,225,0,Ariana,false,arianalara
Fun!23,13789.95,Disney,9,0,Ariel,false,arieldisney
Fun!23,16918.5,Cabrera,47,0,Armando,true,armandocabrera
Fun!23,10485.55,Evans,147,0,Ashley,true,ashleyevans
Fun!23,15801.57,Frye,946,0,Ashley,true,ashleyfrye
Fun!23,14337.54,Gilmore,55,0,Ashley,true,ashleygilmore
Fun!23,12393.55,Jones,242,0,Ashley,true,ashleyjones
Fun!23,13210.93,Morales,960,0,Ashley,true,ashleymorales
Fun!23,10575.24,Romero,139,0,Ashley,false,ashleyromero
Fun!23,13415.31,Walker,672,0,Ashley,true,ashleywalker
Fun!23,16996.86,Wilcox,402,0,Ashley,true,ashleywilcox
Fun!23,13647.87,Disney,14,0,Aurora,true,auroradisney
Fun!23,10094.97,Griffin,105,0,Austin,false,austingriffin
Fun!23,16316.21,Lewis,1013,0,Austin,false,austinlewis
Fun!23,13059.45,Jones,469,0,Barbara,true,barbarajones
Fun!23,10622.06,Lane,566,0,Barbara,false,barbaralane
Fun!23,13854.8,Love,896,0,Barbara,false,barbaralove
Fun!23,15772.67,Robertson,252,0,Barbara,false,barbararobertson
Fun!23,11908.6,Disney,20,0,Beast,false,beastdisney
Fun!23,11765.52,Gray,431,0,Becky,false,beckygray
Fun!23,11547.02,Simpson,957,0,Becky,false,beckysimpson
Fun!23,14526.08,Disney,21,0,Belle,false,belledisney
Fun!23,13709.79,Johnson,346,0,Benjamin,true,benjaminjohnson
Fun!23,16940.37,Ramirez,397,0,Benjamin,true,benjaminramirez
Fun!23,14879.77,Moss,1009,0,Beth,true,bethmoss
Fun!23,12746.75,Sharp,634,0,Beth,true,bethsharp
Fun!23,11758.23,Johnson,120,0,Beverly,true,beverlyjohnson
Fun!23,14609.62,Bennett,515,0,Bobby,true,bobbybennett
Fun!23,13201.5,Gonzales,558,0,Bobby,false,bobbygonzales
Fun!23,11129.51,Patel,91,0,Brad,true,bradpatel
Fun!23,10810.68,Bell,575,0,Bradley,false,bradleybell
Fun!23,15528.7,Rodriguez,302,0,Bradley,true,bradleyrodriguez
Fun!23,17947.22,Daniel,813,0,Brandi,true,brandidaniel
Fun!23,10282.81,Gordon,482,0,Brandi,true,brandigordon
Fun!23,11445.52,Dillon,572,0,Brandon,false,brandondillon
Fun!23,10088.94,Flores,658,0,Brandon,true,brandonflores
Fun!23,17647.68,Miller,861,0,Brandon,true,brandonmiller
Fun!23,11917.43,Neal,424,0,Brandon,true,brandonneal
Fun!23,11867.92,Smith,444,0,Brandon,false,brandonsmith
Fun!23,12126.37,Valenzuela,545,0,Brandy,true,brandyvalenzuela
Fun!23,10827.62,Wilkerson,768,0,Brandy,false,brandywilkerson
Fun!23,10836.5,Douglas,316,0,Brenda,false,brendadouglas
Fun!23,15778.18,Phillips,910,0,Brendan,true,brendanphillips
Fun!23,16052,Higgins,879,0,Brett,true,bretthiggins
Fun!23,10424.94,Mathis,945,0,Brett,false,brettmathis
Fun!23,11851.8,Wallace,880,0,Brett,true,brettwallace
Fun!23,17386.46,Andrews,124,0,Brian,false,brianandrews
Fun!23,13196.53,Castillo,262,0,Brian,false,briancastillo
Fun!23,13493.54,Gates,602,0,Brian,true,briangates
Fun!23,17972.12,Hayes,343,0,Brian,false,brianhayes
Fun!23,17252.7,Jacobson,319,0,Brian,false,brianjacobson
Fun!23,11432.41,Jensen,210,0,Brian,true,brianjensen
Fun!23,14649.44,Lopez,472,0,Brian,false,brianlopez
Fun!23,10762,Rojas,757,0,Brian,true,brianrojas
Fun!23,13857.07,Wagner,214,0,Bridget,true,bridgetwagner
Fun!23,16596.09,Andrews,94,0,Brittany,false,brittanyandrews
Fun!23,16953.94,Hawkins,119,0,Brittany,false,brittanyhawkins
Fun!23,11738.97,Nielsen,497,0,Brittany,false,brittanynielsen
Fun!23,16680.26,Ray,228,0,Brittany,true,brittanyray
Fun!23,17523.24,Richard,667,0,Brittany,true,brittanyrichard
Fun!23,13382.39,Weaver,555,0,Brittany,false,brittanyweaver
Fun!23,14169.88,Daniel,748,0,Brittney,false,brittneydaniel
Fun!23,12549.1,Maxwell,1034,0,Brooke,false,brookemaxwell
Fun!23,10744.74,Padilla,255,0,Brooke,true,brookepadilla
Fun!23,14549.93,Clark,499,0,Bruce,true,bruceclark
Fun!23,12638.72,Roque,77,0,Bruno,true,brunoroque
Fun!23,13580.5,Fields,775,0,Bryan,false,bryanfields
Fun!23,11541.36,Hardy,326,0,Bryan,false,bryanhardy
Fun!23,15956.3,Massey,1021,0,Bryan,false,bryanmassey
Fun!23,11665.17,Wise,870,0,Bryan,false,bryanwise
Fun!23,13215.99,Lightyear,17,0,Buzz,false,buzzlightyear
Fun!23,16010.86,Hook,27,0,Captaiin,true,captaiinhook
Fun!23,15603.35,Foley,689,0,Carl,false,carlfoley
Fun!23,12696.6,Irwin,907,0,Carlos,true,carlosirwin
Fun!23,12578.29,Lynch,1012,0,Carlos,true,carloslynch
Fun!23,14841.46,Ortega,68,0,Carlos,false,carlosortega
Fun!23,12795.64,Hays,720,0,Carmen,false,carmenhays
Fun!23,12254.99,Petersen,987,0,Carmen,true,carmenpetersen
Fun!23,14552.64,Elliott,938,0,Carol,true,carolelliott
Fun!23,16860.73,Torres,345,0,Caroline,true,carolinetorres
Fun!23,15647.53,Dunn,875,0,Carolyn,true,carolyndunn
Fun!23,13101.04,Bennett,368,0,Carrie,true,carriebennett
Fun!23,12274.73,Navarro,811,0,Casey,true,caseynavarro
Fun!23,14154.41,Cook,580,0,Cassandra,true,cassandracook
Fun!23,13457.72,Mann,760,0,Catherine,false,catherinemann
Fun!23,16789.48,Jones,218,0,Cesar,false,cesarjones
Fun!23,16072.08,Clark,573,0,Chad,false,chadclark
Fun!23,17862.27,Green,821,0,Chad,false,chadgreen
Fun!23,17574.53,Chambers,1010,0,Charles,true,charleschambers
Fun!23,12499.66,Miller,216,0,Chase,true,chasemiller
Fun!23,13797.57,Gallagher,108,0,Chelsea,true,chelseagallagher
Fun!23,14444.69,Porter,336,0,Chelsea,false,chelseaporter
Fun!23,16601.02,Wilson,324,0,Cheryl,true,cherylwilson
Fun!23,15776.95,Disney,6,0,Chip,true,chipdisney
Fun!23,10130.6,Holden,259,0,Chris,true,chrisholden
Fun!23,10764.18,Jones,570,0,Chris,false,chrisjones
Fun!23,15812.39,King,285,0,Chris,false,chrisking
Fun!23,15739.48,Ellis,866,0,Christian,false,christianellis
Fun!23,12025.97,Gomez,56,0,Christian,true,christiangomez
Fun!23,16242.54,Smith,223,0,Christian,true,christiansmith
Fun!23,10230.41,Carter,902,0,Christina,false,christinacarter
Fun!23,11990.38,Dodson,694,0,Christina,false,christinadodson
Fun!23,14756.33,Jones,591,0,Christina,false,christinajones
Fun!23,14126.47,Villanueva,882,0,Christina,false,christinavillanueva
Fun!23,14979.76,Walker,169,0,Christina,false,christinawalker
Fun!23,12222.4,Wheeler,347,0,Christina,true,christinawheeler
Fun!23,11955.54,Ellis,690,0,Christine,false,christineellis
Fun!23,10671.47,Berry,962,0,Christopher,true,christopherberry
Fun!23,12099.52,Coleman,137,0,Christopher,true,christophercoleman
Fun!23,15973.76,Contreras,98,0,Christopher,true,christophercontreras
Fun!23,15460.59,Craig,576,0,Christopher,false,christophercraig
Fun!23,15022.4,Davis,703,0,Christopher,false,christopherdavis
Fun!23,13754.64,Dominguez,363,0,Christopher,true,christopherdominguez
Fun!23,14415.06,Fields,639,0,Christopher,false,christopherfields
Fun!23,12536.57,Foster,367,0,Christopher,true,christopherfoster
Fun!23,10681.89,Johnson,563,0,Christopher,true,christopherjohnson
Fun!23,15593.42,Jones,357,0,Christopher,true,christopherjones
Fun!23,17611.14,Lucero,863,0,Christopher,true,christopherlucero
Fun!23,15361.68,Melendez,526,0,Christopher,false,christophermelendez
Fun!23,10078.2,Norris,116,0,Christopher,true,christophernorris
Fun!23,10354.66,Ortega,912,0,Christopher,false,christopherortega
Fun!23,13142.76,Osborne,632,0,Christopher,true,christopherosborne
Fun!23,11807.65,Raymond,466,0,Christopher,false,christopherraymond
Fun!23,17406.9,Robinson,662,0,Christopher,false,christopherrobinson
Fun!23,13340.28,Sanford,518,0,Christopher,false,christophersanford
Fun!23,14533.01,Underwood,734,0,Christopher,true,christopherunderwood
